# 由 tools/ime-kaomoji/mkkaomoji.py 生成，不要手改。颜文字<Tab>关键词，常用的在前。
( ˶ˆᗜˆ˵ )	开心 快乐 高兴 幸福 愉快 开森 真好 太好了 好开心 嘻嘻 うれしい 嬉しい 楽しい たのしい やった
٩(ˊᗜˋ*)و	开心 快乐 高兴 耶 太好了 好耶 庆祝 撒花 うれしい 嬉しい やった わーい 加油 努力 冲 奋斗 必胜 冲鸭 がんばれ 頑張れ 頑張る ファイト がんばる
(*´▽`*)	开心 快乐 幸福 满足 舒服 真好 うれしい 高兴 嬉しい 幸せ しあわせ
(≧▽≦)	开心 快乐 高兴 哈哈 好开心 激动 うれしい 嬉しい 楽しい 笑
(๑>◡<๑)	开心 快乐 嘻嘻 可爱 うれしい 高兴 楽しい
ヽ(*´∀｀)ノ	开心 快乐 耶 好耶 わーい やった
( ´ ▽ ` )	开心 快乐 真好 嘿嘿 うれしい 高兴 にこにこ 笑 微笑
٩( 'ω' )و	开心 耶 好耶 冲 やった よし 好 棒
(*^▽^*)	开心 快乐 哈哈 高兴 うれしい にこにこ 笑 微笑 てれ 害羞
(o^^o)	开心 微笑 嘿嘿 にこにこ 笑
(´∀｀*)ｳﾌﾌ	嘿嘿 偷笑 嘻嘻 うふふ
(ﾉ∀`*)	哈哈 笑 好笑 笑死 わら
( ´∀`)ｹﾞﾗｹﾞﾗ	哈哈哈 笑死 好笑 搞笑 笑 わら 草
(≧∇≦)ﾌﾞﾜｯ	笑死 哈哈哈 笑哭 搞笑 爆笑 草
(^▽^)	笑 微笑 哈哈 にこにこ 开心
(っ˘ω˘ｃ)🌕	中秋 中秋节 中秋快乐 月亮 赏月 月圆 满月 团圆 月見 お月見 十五夜 満月 つきみ
🎑(*´ω`*)	中秋 中秋节 中秋快乐 赏月 团圆 节日快乐 月見 お月見 十五夜 つきみ
(*´꒳`*)🍡	中秋 中秋节 赏月 月亮 团子 月見 お月見 団子 だんご
( ´ ▽ ` )🥮	中秋 中秋节 中秋快乐 月饼 团圆 月見 お月見
🐇🌕( ˘ω˘ )	中秋 中秋节 月亮 兔子 玉兔 嫦娥 满月 月見 十五夜 うさぎ
🌙( ˘ω˘ )	月亮 晚上 夜晚 晚上好 月 こんばんは
٩(ˊᗜˋ*)و🎂	生日 生日快乐 过生日 诞生 蛋糕 誕生日 たんじょうび ハッピーバースデー
( ˶ˆᗜˆ˵ )🎉	生日快乐 恭喜 庆祝 节日快乐 祝贺 おめでとう お祝い
ヾ(＾∇＾)ｵﾒﾃﾞﾄｳ♪	生日快乐 恭喜 祝贺 おめでとう
(*^▽^)/★*☆♪	生日快乐 祝福 节日快乐 恭喜 おめでとう
✧*｡٩(ˊᗜˋ*)و✧*｡	恭喜 祝贺 庆祝 成功 胜利 撒花 太棒了 おめでとう 祝 やった
ヾ(≧▽≦*)o	恭喜 祝贺 太好了 庆祝 おめでとう やった
(∩´∀｀)∩ﾜｰｲ	万岁 太好了 好耶 耶 わーい 开心 ばんざい
( ´∀｀)つ🍻	干杯 喝酒 聚会 喝一杯 乾杯 かんぱい 飲み会
(ﾉ≧∀≦)ﾉ🎍	新年 新年快乐 过年 春节 元旦 拜年 あけおめ あけましておめでとう 正月
₍₍ ◝(●˙꒳˙●)◜ ₎₎	新年快乐 过年 跨年 开心 あけおめ 新年
(*´▽`*)🎄	圣诞 圣诞节 圣诞快乐 平安夜 クリスマス メリークリスマス
🎅(*´∀`*)	圣诞 圣诞节 圣诞快乐 圣诞老人 クリスマス サンタ
(人´∀`)ｱﾘｶﾞﾄ☆	谢谢 感谢 多谢 谢啦 谢谢你 ありがとう 感謝 どうも
(*ᴗˬᴗ)⁾⁾	谢谢 感谢 多谢 辛苦了 麻烦了 ありがとう 感謝 よろしく
m(_ _)m	对不起 抱歉 不好意思 拜托 谢谢 失礼了 ごめん ごめんなさい すみません 申し訳 おねがい よろしく ぺこり 鞠躬 おじぎ ありがとう 难过
(*´人｀*)	谢谢 感恩 拜托 求求 ありがとう おねがい お願い
ｱﾘｶﾞﾀﾔ(-人-)	谢谢 感恩 太感谢了 ありがたい ありがとう
(›´ω`‹ )	对不起 抱歉 不好意思 委屈 ごめん ごめんなさい
ｽﾐﾏｾﾝ(｡>﹏<｡)	对不起 抱歉 不好意思 すみません ごめんなさい
( ᐪ ᐪ )	难过 伤心 哭 委屈 呜呜 想哭 ぴえん 悲しい かなしい
(´；ω；｀)	难过 伤心 哭 呜呜 呜呜呜 泪目 感动 悲しい かなしい 泣く なく なみだ
(╥﹏╥)	难过 哭 呜呜 伤心 心碎 泣く なく 悲しい
( ; ; )	哭 难过 伤心 委屈 泣く なく
｡ﾟ(ﾟ´Д｀ﾟ)ﾟ｡	大哭 哭了 呜呜呜 太难了 崩溃 うわーん 泣く えーん 哭 呜呜 しくしく なく 难过 なみだ 泪目
(՞ ܸ. .ܸ՞)	委屈 难过 可怜 呜呜 ぴえん しょんぼり 失落
(；▽；)	感动 泪目 太感动了 感動 尊い
(｀へ´)	生气 哼 讨厌 不爽 气死 怒る おこ むかつく ぷんぷん
(#`Д´)	生气 气死 愤怒 可恶 怒る むかつく いかり
٩(๑`^´๑)۶	生气 哼 讨厌 烦 おこ ぷんぷん むか むかっ むきー 气死 不爽
( ˙-˙ )	无语 冷漠 呵呵 哦 不爽 真顔 無
(・_・;)	尴尬 汗 无语 呃 额 啊这 あせ 苦笑 ぎくっ 心虚 めがてん 惊讶 えー
(￣▽￣;)	尴尬 汗 苦笑 无奈 呵呵 あせ
(^_^;)	汗 尴尬 苦笑 不好意思 あせ にこにこ 笑 微笑 开心 ぎくっ 心虚 ぽりぽり 挠头
┐(￣ヘ￣)┌	无奈 算了 没办法 随便 やれやれ しかたない
¯\_(ツ)_/¯	无所谓 不知道 随便 无奈 しらない さあ すくめる OTHER
Σ(ﾟДﾟ)	惊讶 吃惊 天哪 天啊 卧槽 震惊 居然 びっくり 驚く えっ うおっ 哇 ぎくっ 尴尬 心虚 OTHER
(ﾟДﾟ;)	惊讶 震惊 什么 不会吧 真的吗 びっくり 吃惊 まじ
(ﾟoﾟ;)	惊讶 哇 啊 びっくり 吃惊 えっ
(⊙_⊙)	惊呆 震惊 懵 びっくり 惊讶 吃惊 ぽかーん 发呆
(〃ω〃)	害羞 脸红 不好意思 羞 照れ てれ はずかしい 恥ずかしい 笑
(*/ω＼*)	害羞 捂脸 不好意思 羞死了 はずかしい 恥ずかしい てれ
(,,>﹏<,,)	害羞 紧张 不好意思 はずかしい
(⸝⸝ᵕᴗᵕ⸝⸝)	害羞 脸红 嘿嘿 照れ てれ
(♡´▽`♡)	喜欢 爱 爱你 心动 好喜欢 好き すき 大好き 愛 ラブ
(´ε｀ )♡	爱你 亲亲 么么哒 喜欢 ちゅっ 好き
(づ￣ ³￣)づ	亲亲 么么哒 抱抱 爱你 ちゅっ ぎゅー
(*˘︶˘*).｡.:*♡	幸福 喜欢 爱 甜 幸せ しあわせ 好き はーと 笑
♡(ˊᗜˋ*)♡	比心 爱你 喜欢 好き 大好き
(ᐢ. ̫ .ᐢ)	可爱 萌 好萌 软萌 呆萌 かわいい 可愛い
₍ᐢ. ̫.ᐢ₎	可爱 萌 小可爱 かわいい 可愛い
( ˶'ᵕ'˶)	可爱 乖 萌 开心 かわいい 可愛い
ᐠ( ᐢ ᵕ ᐢ )ᐟ	可爱 萌 开心 耶 かわいい
(๑´ㅂ`๑)	可爱 期待 开心 かわいい
(ง •̀_•́)ง	加油 努力 奋斗 拼了 冲 干吧 がんばれ 頑張る ファイト
(๑•̀ㅂ•́)و✧	加油 好的 收到 没问题 冲 厉害 よし 好 棒 がんばる ぐっ 赞 笑
ᕦ(ò_óˇ)ᕤ	加油 力量 健身 努力 筋トレ がんばる
(｀・ω・´)ゞ	收到 好的 明白 了解 遵命 没问题 りょうかい 承知
( ´ ▽ ` )b	好的 可以 不错 没问题 点赞 おけ いいね 赞
(*ˊᗜˋ)b	好的 可以 棒 赞 おっけー いいね 点赞
(ゝω・)v	好的 耶 嘿嘿 调皮 ぶい ぴーす
(人・ω・)	拜托 求求 求你 请 帮帮我 お願い おねがい たのむ
(*´人`*)ｵﾈｶﾞｲ	拜托 求求你 求求 お願い おねがい
(・ω・)ﾉ	你好 嗨 哈喽 在吗 喂 こんにちは やあ はろー
( ´ ▽ ` )ﾉ	你好 嗨 哈喽 在吗 こんにちは やあ はーい 好的 笑
ヾ(＾∇＾)	你好 嗨 欢迎 こんにちは やっほー
(*´▽`)ﾉおはよう	早 早安 早上好 早啊 おはよう
ヽ(・∀・)ﾉおはよー	早安 早上好 起床了 おはよう
( ˘ω˘ )ｽﾔｧ	晚安 睡觉 睡了 困 好困 おやすみ ねむい 眠い 寝る すやすや
(˘ω˘)ｵﾔｽﾐ	晚安 睡觉 睡了 おやすみ
(-_-)zzz	睡觉 困 好困 睡着了 ねむい 眠い ねる 寝る ねてる いねむり 打瞌睡 ふてね OTHER
