# 近几年日本常用的颜文字，按主题排。每行：颜文字<Tab>中文关键词<Tab>日文关键词（空格分隔）。
# 同一主题里越靠前越常用；打出的词里含有关键词时出现在候选里（见 mkkaomoji.py）。
( ˶ˆᗜˆ˵ )	开心 快乐 高兴 幸福 愉快 开森 真好 太好了 好开心 嘻嘻	うれしい 嬉しい 楽しい たのしい やった
٩(ˊᗜˋ*)و	开心 快乐 高兴 耶 太好了 好耶 庆祝 撒花	うれしい 嬉しい やった わーい
(*´▽`*)	开心 快乐 幸福 满足 舒服 真好	うれしい 嬉しい 幸せ しあわせ
(≧▽≦)	开心 快乐 高兴 哈哈 好开心 激动	うれしい 嬉しい 楽しい
(๑>◡<๑)	开心 快乐 嘻嘻 可爱	うれしい 楽しい
ヽ(*´∀｀)ノ	开心 快乐 耶 好耶	わーい やった
( ´ ▽ ` )	开心 快乐 真好 嘿嘿	うれしい にこにこ
٩( 'ω' )و	开心 耶 好耶 冲	やった よし
(*^▽^*)	开心 快乐 哈哈 高兴	うれしい にこにこ
(o^^o)	开心 微笑 嘿嘿	にこにこ
(´∀｀*)ｳﾌﾌ	嘿嘿 偷笑 嘻嘻	うふふ
(ﾉ∀`*)	哈哈 笑 好笑 笑死	わら 笑
( ´∀`)ｹﾞﾗｹﾞﾗ	哈哈哈 笑死 好笑 搞笑 笑	わら 笑 草
(≧∇≦)ﾌﾞﾜｯ	笑死 哈哈哈 笑哭 搞笑	爆笑 草
(^▽^)	笑 微笑 哈哈	にこにこ
(っ˘ω˘ｃ)🌕	中秋 中秋节 中秋快乐 月亮 赏月 月圆 满月 团圆	月見 お月見 十五夜 満月 つきみ
🎑(*´ω`*)	中秋 中秋节 中秋快乐 赏月 团圆 节日快乐	月見 お月見 十五夜 つきみ
(*´꒳`*)🍡	中秋 中秋节 赏月 月亮 团子	月見 お月見 団子 だんご
( ´ ▽ ` )🥮	中秋 中秋节 中秋快乐 月饼 团圆	月見 お月見
🐇🌕( ˘ω˘ )	中秋 中秋节 月亮 兔子 玉兔 嫦娥 满月	月見 十五夜 うさぎ
🌙( ˘ω˘ )	月亮 晚上 夜晚 晚上好	月 こんばんは
٩(ˊᗜˋ*)و🎂	生日 生日快乐 过生日 诞生 蛋糕	誕生日 たんじょうび ハッピーバースデー
( ˶ˆᗜˆ˵ )🎉	生日快乐 恭喜 庆祝 节日快乐 祝贺	おめでとう お祝い
ヾ(＾∇＾)ｵﾒﾃﾞﾄｳ♪	生日快乐 恭喜 祝贺	おめでとう
(*^▽^)/★*☆♪	生日快乐 祝福 节日快乐 恭喜	おめでとう
✧*｡٩(ˊᗜˋ*)و✧*｡	恭喜 祝贺 庆祝 成功 胜利 撒花 太棒了	おめでとう 祝 やった
ヾ(≧▽≦*)o	恭喜 祝贺 太好了 庆祝	おめでとう やった
(∩´∀｀)∩ﾜｰｲ	万岁 太好了 好耶 耶	わーい ばんざい
( ´∀｀)つ🍻	干杯 喝酒 聚会 喝一杯	乾杯 かんぱい 飲み会
(ﾉ≧∀≦)ﾉ🎍	新年 新年快乐 过年 春节 元旦 拜年	あけおめ あけましておめでとう 新年 正月
₍₍ ◝(●˙꒳˙●)◜ ₎₎	新年快乐 过年 跨年 开心	あけおめ 新年
(*´▽`*)🎄	圣诞 圣诞节 圣诞快乐 平安夜	クリスマス メリークリスマス
🎅(*´∀`*)	圣诞 圣诞节 圣诞快乐 圣诞老人	クリスマス サンタ
(人´∀`)ｱﾘｶﾞﾄ☆	谢谢 感谢 多谢 谢啦 谢谢你	ありがとう 感謝 どうも
(*ᴗˬᴗ)⁾⁾	谢谢 感谢 多谢 辛苦了 麻烦了	ありがとう 感謝 よろしく
m(_ _)m	对不起 抱歉 不好意思 拜托 谢谢 失礼了	ごめん ごめんなさい すみません 申し訳 おねがい よろしく
(*´人｀*)	谢谢 感恩 拜托 求求	ありがとう おねがい お願い
ｱﾘｶﾞﾀﾔ(-人-)	谢谢 感恩 太感谢了	ありがたい ありがとう
(›´ω`‹ )	对不起 抱歉 不好意思 委屈	ごめん ごめんなさい
ｽﾐﾏｾﾝ(｡>﹏<｡)	对不起 抱歉 不好意思	すみません ごめんなさい
